Date,Price,btc,bitcoin,cryptocurrency
11/17/2013 0:00,433.53,9,12,0
11/18/2013 0:00,583.16,9,12,0
11/19/2013 0:00,583.16,9,12,0
11/20/2013 0:00,595,9,12,0
11/21/2013 0:00,595,9,12,0
11/22/2013 0:00,761,9,12,0
11/23/2013 0:00,761,9,12,0
11/24/2013 0:00,833.16,9,14,1
11/25/2013 0:00,833.16,9,14,1
11/26/2013 0:00,844.9,9,14,1
11/27/2013 0:00,844.9,9,14,1
11/28/2013 0:00,1009,9,14,1
11/29/2013 0:00,1009,9,14,1
11/30/2013 0:00,1119.96,9,14,1
12/1/2013 0:00,1119.96,9,14,1
12/2/2013 0:00,992.27,9,14,1
12/3/2013 0:00,992.27,9,14,1
12/4/2013 0:00,1151,9,14,1
12/5/2013 0:00,1151,9,14,1
12/6/2013 0:00,894,9,14,1
12/7/2013 0:00,894,9,14,1
12/8/2013 0:00,722.99,7,10,1
12/9/2013 0:00,722.99,7,10,1
12/10/2013 0:00,936.98,7,10,1
12/11/2013 0:00,936.98,7,10,1
12/12/2013 0:00,845.75,7,10,1
12/13/2013 0:00,845.75,7,10,1
12/14/2013 0:00,864.7,7,10,1
12/15/2013 0:00,864.7,8,10,1
12/16/2013 0:00,709,8,10,1
12/17/2013 0:00,709,8,10,1
12/18/2013 0:00,576.16,8,10,1
12/19/2013 0:00,576.16,8,10,1
12/20/2013 0:00,660,8,10,1
12/21/2013 0:00,660,8,10,1
12/22/2013 0:00,637,6,7,1
12/23/2013 0:00,637,6,7,1
12/24/2013 0:00,647.27,6,7,1
12/25/2013 0:00,647.27,6,7,1
12/26/2013 0:00,734.42,6,7,1
12/27/2013 0:00,734.42,6,7,1
12/28/2013 0:00,701.61,6,7,1
12/29/2013 0:00,701.61,6,6,1
12/30/2013 0:00,739.1,6,6,1
12/31/2013 0:00,739.1,6,6,1
1/1/2014 0:00,746.9,6,6,1
1/2/2014 0:00,746.9,6,6,1
1/3/2014 0:00,806.21,6,6,1
1/4/2014 0:00,806.21,6,6,1
1/5/2014 0:00,896,6,7,1
1/6/2014 0:00,896,6,7,1
1/7/2014 0:00,867.38,6,7,1
1/8/2014 0:00,867.38,6,7,1
1/9/2014 0:00,809.17,6,7,1
1/10/2014 0:00,809.17,6,7,1
1/11/2014 0:00,891.85,6,7,1
1/12/2014 0:00,891.85,6,6,1
1/13/2014 0:00,807.83,6,6,1
1/14/2014 0:00,807.83,6,6,1
1/15/2014 0:00,847.7,6,6,1
1/16/2014 0:00,847.7,6,6,1
1/17/2014 0:00,793,6,6,1
1/18/2014 0:00,793,6,6,1
1/19/2014 0:00,833,6,6,1
1/20/2014 0:00,833,6,6,1
1/21/2014 0:00,822.56,6,6,1
1/22/2014 0:00,822.56,6,6,1
1/23/2014 0:00,813.02,6,6,1
1/24/2014 0:00,813.02,6,6,1
1/25/2014 0:00,806,6,6,1
1/26/2014 0:00,806,6,6,1
1/27/2014 0:00,777,6,6,1
1/28/2014 0:00,777,6,6,1
1/29/2014 0:00,803.6,6,6,1
1/30/2014 0:00,803.6,6,6,1
1/31/2014 0:00,802.5,6,6,1
2/1/2014 0:00,802.5,6,6,1
2/2/2014 0:00,819.57,7,6,1
2/3/2014 0:00,819.57,7,6,1
2/4/2014 0:00,809.05,7,6,1
2/5/2014 0:00,809.05,7,6,1
2/6/2014 0:00,778,7,6,1
2/7/2014 0:00,778,7,6,1
2/8/2014 0:00,707,7,6,1
2/9/2014 0:00,707,7,7,1
2/10/2014 0:00,665,7,7,1
2/11/2014 0:00,665,7,7,1
2/12/2014 0:00,667.01,7,7,1
2/13/2014 0:00,667.01,7,7,1
2/14/2014 0:00,672.1,7,7,1
2/15/2014 0:00,672.1,7,7,1
2/16/2014 0:00,623.5,6,6,1
2/17/2014 0:00,623.5,6,6,1
2/18/2014 0:00,626.77,6,6,1
2/19/2014 0:00,626.77,6,6,1
2/20/2014 0:00,582.7,6,6,1
2/21/2014 0:00,582.7,6,6,1
2/22/2014 0:00,603.98,6,6,1
2/23/2014 0:00,603.98,6,10,1
2/24/2014 0:00,545,6,10,1
2/25/2014 0:00,545,6,10,1
2/26/2014 0:00,585.38,6,10,1
2/27/2014 0:00,585.38,6,10,1
2/28/2014 0:00,577.97,6,10,1
3/1/2014 0:00,577.97,6,10,1
3/2/2014 0:00,559.88,6,9,1
3/3/2014 0:00,559.88,6,9,1
3/4/2014 0:00,677.61,6,9,1
3/5/2014 0:00,677.61,6,9,1
3/6/2014 0:00,657.02,6,9,1
3/7/2014 0:00,657.02,6,9,1
3/8/2014 0:00,609,6,9,1
3/9/2014 0:00,609,6,5,1
3/10/2014 0:00,621.99,6,5,1
3/11/2014 0:00,621.99,6,5,1
3/12/2014 0:00,642.1,6,5,1
3/13/2014 0:00,642.1,6,5,1
3/14/2014 0:00,636.47,6,5,1
3/15/2014 0:00,636.47,6,5,1
3/16/2014 0:00,634.94,5,4,1
3/17/2014 0:00,634.94,5,4,1
3/18/2014 0:00,627,5,4,1
3/19/2014 0:00,627,5,4,1
3/20/2014 0:00,590,5,4,1
3/21/2014 0:00,590,5,4,1
3/22/2014 0:00,557,5,4,1
3/23/2014 0:00,557,5,4,1
3/24/2014 0:00,572,5,4,1
3/25/2014 0:00,572,5,4,1
3/26/2014 0:00,585.7,5,4,1
3/27/2014 0:00,585.7,5,4,1
3/28/2014 0:00,503,5,4,1
3/29/2014 0:00,503,5,4,1
3/30/2014 0:00,449.02,4,4,1
3/31/2014 0:00,449.02,4,4,1
4/1/2014 0:00,479.51,4,4,1
4/2/2014 0:00,479.51,4,4,1
4/3/2014 0:00,446.31,4,4,1
4/4/2014 0:00,446.31,4,4,1
4/5/2014 0:00,451.84,4,4,1
4/6/2014 0:00,451.84,4,3,1
4/7/2014 0:00,447.74,4,3,1
4/8/2014 0:00,447.74,4,3,1
4/9/2014 0:00,443.1,4,3,1
4/10/2014 0:00,443.1,4,3,1
4/11/2014 0:00,427.99,4,3,1
4/12/2014 0:00,427.99,4,3,1
4/13/2014 0:00,405,4,3,1
4/14/2014 0:00,405,4,3,1
4/15/2014 0:00,489.91,4,3,1
4/16/2014 0:00,489.91,4,3,1
4/17/2014 0:00,495,4,3,1
4/18/2014 0:00,495,4,3,1
4/19/2014 0:00,499.9,4,3,1
4/20/2014 0:00,499.9,4,3,1
4/21/2014 0:00,496.5,4,3,1
4/22/2014 0:00,496.5,4,3,1
4/23/2014 0:00,487.3,4,3,1
4/24/2014 0:00,487.3,4,3,1
4/25/2014 0:00,459.15,4,3,1
4/26/2014 0:00,459.15,4,3,1
4/27/2014 0:00,440.1,4,2,1
4/28/2014 0:00,440.1,4,2,1
4/29/2014 0:00,447.7,4,2,1
4/30/2014 0:00,447.7,4,2,1
5/1/2014 0:00,460.01,4,2,1
5/2/2014 0:00,460.01,4,2,1
5/3/2014 0:00,434.5,4,2,1
5/4/2014 0:00,434.5,4,2,0
5/5/2014 0:00,427.83,4,2,0
5/6/2014 0:00,427.83,4,2,0
5/7/2014 0:00,446.65,4,2,0
5/8/2014 0:00,446.65,4,2,0
5/9/2014 0:00,452.02,4,2,0
5/10/2014 0:00,452.02,4,2,0
5/11/2014 0:00,435,3,2,0
5/12/2014 0:00,435,3,2,0
5/13/2014 0:00,438.95,3,2,0
5/14/2014 0:00,438.95,3,2,0
5/15/2014 0:00,448.99,3,2,0
5/16/2014 0:00,448.99,3,2,0
5/17/2014 0:00,449.08,3,2,0
5/18/2014 0:00,449.08,4,2,1
5/19/2014 0:00,446.42,4,2,1
5/20/2014 0:00,446.42,4,2,1
5/21/2014 0:00,494.87,4,2,1
